name_pt,category_pt,energy_kcal_100g,energy_kj_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g,sugars_100g,sodium_mg_100g,glycemic_index
"Manteiga, com sal",,725.9689268459988,3037.4539899236593,,,,,,,
"Manteiga, sem sal",,757.5404607259967,3169.54928767757,,,,,,,
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",,596.1195169563294,2494.1640589452827,,,,,,,
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",,722.525625804901,3023.0472183677057,,,,,,,
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",,594.4516933333332,2487.185884906666,,,,,,,
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",,593.1374902381897,2481.6872591565857,,,,,,,
"Óleo, de babaçu",,884.0,3698.656,,,,,,,
"Óleo, de canola",,884.0,3698.656,,,,,,,
"Óleo, de girassol",,884.0,3698.656,,,,,,,
"Óleo, de milho",,884.0,3698.656,,,,,,,
"Óleo, de pequi",,884.0,3698.656,,,,,,,
"Óleo, de soja",,884.0,3698.6560638427736,,,,,,,
"Abadejo, filé, congelado, assado",,111.6155034511884,466.99926643977227,,,,,,,
"Abadejo, filé, congelado,cozido",,91.10354839555423,381.1772464869989,,,,,,,
"Abadejo, filé, congelado, cru",,59.11303324858347,247.32893111207323,,,,,,,
"Abadejo, filé, congelado, grelhado",,129.6435259028673,542.4285123775968,,,,,,,
"Atum, conserva em óleo",,165.91056057890256,694.1697854621283,,,,,,,
"Atum, fresco, cru",,117.50099999999998,491.6241839999999,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Bacalhau, salgado, cru",,135.89296666666664,568.5761725333332,,,,,,,
"Bacalhau, salgado, refogado",,139.66070105353995,584.3403732080112,,,,,,,
"Cação, posta, com farinha de trigo, frita",,208.33274372597532,871.6641997494808,,,,,,,
"Cação, posta, cozida",,116.01448068765795,485.4045871971609,,,,,,,
"Cação, posta, crua",,83.33302501956622,348.6653766818651,,,,,,,
"Camarão, Rio Grande, grande, cozido",,90.01368009630838,376.61723752295427,,,,,,,
"Camarão, Rio Grande, grande, cru",,47.18343670543035,197.4154991755206,,,,,,,
"Camarão, Sete Barbas, sem cabeça, com casca, frito",,231.24615385087333,967.5339077120541,,,,,,,
"Caranguejo, cozido",,82.72150150783858,346.10676230879665,,,,,,,
"Corimba, cru",,128.1554,536.2021936,,,,,,,
"Corimbatá, assado",,261.45243941056725,1093.9170064938135,,,,,,,
"Corimbatá, cozido",,238.69610486733916,998.704502764947,,,,,,,
"Corvina de água doce, crua",,101.00903333333332,422.62179546666664,,,,,,,
"Corvina do mar, crua",,94.0,391.5201709333333,,,,,,,
"Corvina grande, assada",,146.52814112536112,613.0737424685109,,,,,,,
"Corvina grande, cozida",,100.07812455296516,418.72687312960625,,,,,,,
"Dourada de água doce, fresca",,131.2083147237698,548.9755888042529,,,,,,,
"Lambari, congelado, cru",,130.84031100948653,547.4358612636917,,,,,,,
"Lambari, congelado, frito",,326.86839988660813,1367.6173851255685,,,,,,,
"Lambari, fresco, cru",,151.598346503218,634.2874817694642,,,,,,,
"Manjuba, com farinha de trigo, frita",,343.55045872306823,1437.4151192973175,,,,,,,
"Manjuba, frita",,349.32523145536584,1461.5767684092507,,,,,,,
"Merluza, filé, assado",,121.91021833333333,510.0723535066667,,,,,,,
"Merluza, filé, cru",,89.13086666666665,372.9235461333333,,,,,,,
"Merluza, filé, frito",,191.62747837583225,801.7693695244822,,,,,,,
"Pescada, branca, crua",,110.87629999999999,463.90643919999997,,,,,,,
"Pescada, branca, frita",,223.0397323693037,933.1982402331666,,,,,,,
"Pescada, filé, com farinha de trigo, frito",,283.4252144319614,1185.8510971833266,,,,,,,
"Pescada, filé, cru",,107.20556666666666,448.5480909333333,,,,,,,
"Pescada, filé, frito",,154.270025,645.4657846,,,,,,,
"Pescada, filé, molho escabeche",,141.9583228750229,593.9536229090959,,,,,,,
"Pescadinha, crua",,76.40890833333334,319.6948724666667,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Pintado, assado",,191.55914112758637,801.4834464778214,,,,,,,
"Pintado, cru",,91.08323333333333,381.0922482666667,,,,,,,
"Pintado, grelhado",,152.19008833333334,636.7633295866667,,,,,,,
"Porquinho, cru",,93.02456666666666,389.2147869333333,,,,,,,
"Salmão, filé, com pele, fresco,  grelhado",,228.73177513531843,957.0137471661724,,,,,,,
"Salmão, sem pele, fresco, cru",,169.78157991055645,710.3661303457682,,,,,,,
"Salmão, sem pele, fresco, grelhado",,242.7065694870949,1015.4842867340051,,,,,,,
"Sardinha, assada",,164.3507883333333,687.6436983866665,,,,,,,
"Sardinha, conserva em óleo",,284.9810048712492,1192.3605243813067,,,,,,,
"Sardinha, frita",,257.0407,1075.4582888000002,,,,,,,
"Sardinha, inteira, crua",,113.90036666666666,476.5591341333333,,,,,,,
"Tucunaré, filé, congelado, cru",,87.686483549277,366.880247170175,,,,,,,
Apresuntado,,128.85725581200919,539.1387583174464,,,,,,,
"Caldo de carne, tablete",,240.62333333333333,1006.7680266666667,,,,,,,
"Caldo de galinha, tablete",,251.44566666666665,1052.0486693333332,,,,,,,
"Carne, bovina, acém, moído, cozido",,212.42039999999997,888.7669536,,,,,,,
"Carne, bovina, acém, moído, cru",,136.56233333333333,571.3768026666667,,,,,,,
"Carne, bovina, acém, sem gordura, cozido",,214.61056666666664,897.9306109333332,,,,,,,
"Carne, bovina, acém, sem gordura, cru",,144.02943333333332,602.6191490666666,,,,,,,
"Carne, bovina, almôndegas, cruas",,189.2566666666666,791.8498933333331,,,,,,,
"Carne, bovina, almôndegas, fritas",,271.813,1137.265592,,,,,,,
"Carne, bovina, bucho, cozido",,133.02286666666666,556.5676741333333,,,,,,,
"Carne, bovina, bucho, cru",,137.30316666666667,574.4764493333333,,,,,,,
"Carne, bovina, capa de contra-filé, com gordura, crua",,216.9089666666667,907.5471165333335,,,,,,,
"Carne, bovina, capa de contra-filé, com gordura, grelhada",,311.7026666666667,1304.1639573333334,,,,,,,
"Carne, bovina, capa de contra-filé, sem gordura, crua",,131.06246666666664,548.3653605333333,,,,,,,
"Carne, bovina, capa de contra-filé, sem gordura, grelhada",,239.44363333333328,1001.8321618666665,,,,,,,
"Carne, bovina, charque, cozido",,262.7801422621807,1099.472115224964,,,,,,,
"Carne, bovina, charque, cru",,248.86101810745396,1041.2344997615874,,,,,,,
"Carne, bovina, contra-filé, à milanesa",,351.5926591989994,1471.0636860886136,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Carne, bovina, contra-filé de costela, cru",,202.43739999999997,846.9980815999999,,,,,,,
"Carne, bovina, contra-filé de costela, grelhado",,274.91426666666666,1150.2412917333334,,,,,,,
"Carne, bovina, contra-filé, com gordura, cru",,205.8567,861.3044328,,,,,,,
"Carne, bovina, contra-filé, com gordura, grelhado",,278.05356666666665,1163.3761229333334,,,,,,,
"Carne, bovina, contra-filé, sem gordura, cru",,156.6158333333333,655.2806466666666,,,,,,,
"Carne, bovina, contra-filé, sem gordura, grelhado",,193.69156666666663,810.4055149333332,,,,,,,
"Carne, bovina, costela, assada",,373.03886666666665,1560.7946181333334,,,,,,,
"Carne, bovina, costela, crua",,357.72246666666666,1496.7108005333334,,,,,,,
"Carne, bovina, coxão duro, sem gordura, cozido",,216.616066666667,906.3216229333333,,,,,,,
"Carne, bovina, coxão duro, sem gordura, cru",,147.96633333333335,619.0911386666668,,,,,,,
"Carne, bovina, coxão mole, sem gordura, cozido",,218.6751,914.9366183999999,,,,,,,
"Carne, bovina, coxão mole, sem gordura, cru",,169.06596666666667,707.3720045333333,,,,,,,
"Carne, bovina, cupim, assado",,330.1002908333333,1381.1396168466665,,,,,,,
"Carne, bovina, cupim, cru",,221.3975,926.32714,,,,,,,
"Carne, bovina, fígado, cru",,141.04586666666665,590.1359061333333,,,,,,,
"Carne, bovina, fígado, grelhado",,225.0264,941.5104576,,,,,,,
